folder_name,dynamic_height,mad_184,p_value_184,mad_110,p_value_110
251019_110113,5760,0.1303266676302264,4.594678419623494e-80,0.021691822599410923,0.055854258988979576
251019_110445,6280,0.043047128580815754,2.329272250532728e-07,0.029250957275994596,0.0044506711435629885
251019_110734,2320,0.14143777874133753,6.498940171242472e-95,0.03311481963261349,0.0007998654670707445
251019_110944,3560,0.1377340750376338,9.179952973036612e-90,0.03867037518816904,9.889979959812361e-05
251019_111157,2200,0.12847481577837452,1.3439250118605485e-77,0.04212444251732497,5.014757857322457e-07
251019_111411,3360,0.15440074170430046,9.299788801134854e-114,0.030101019567332393,0.004858858274855775
251019_111620,1600,0.122919260222819,8.479959371623353e-72,0.02700487614259287,0.00279146895966389
251019_111844,4480,0.0756970380005968,6.865865894816524e-27,0.027323241789554614,0.00583962561826967
251019_112047,4040,0.11736370466726347,2.6867142295602807e-64,0.01695456427710436,0.47133490050217985
251019_112248,2760,0.147919260222819,4.362872509750617e-104,0.015542320851935638,0.5688777008945187
251019_112450,1400,0.13032666763022638,4.720709077534447e-80,0.03571558480799648,1.3579902003156122e-07
251019_112658,6280,0.12106740837096715,2.1398633008688903e-68,0.022659904260965785,0.15706857935655763
251019_112900,1800,0.1442155565191153,9.424379494295462e-99,0.014967839105555832,0.4077336389307866
251019_113057,1240,0.1386600009635597,3.749895820817222e-91,0.02917185377897132,0.0004620523359775416
251019_113255,6400,0.03380148340860095,0.0002419327502839651,0.042363704667263434,7.989629613457597e-07
251019_113454,5040,0.09699333429689307,1.6251030093285277e-43,0.01779425234383283,0.42723383390056086
251019_113712,1800,0.12106740837096715,1.1487625295930945e-68,0.03295790084213344,0.0013708597975234564
251019_113926,2240,0.025454535988223156,0.027077377150256494,0.0423773187543079,1.1079713753518852e-05
251019_114138,3040,0.1516229639265227,1.5012778597921468e-109,0.03834163531659798,3.717279200631348e-05
251019_114343,3280,0.07266314412340094,1.2927741406433298e-23,0.01898666859378614,0.3562652339744479
251019_114550,4320,0.10069703800059678,8.559867044957298e-47,0.03286518325806571,0.0008672880969349463
251019_114752,1520,0.09051185281541159,4.29932267003783e-38,0.009717035109917572,0.9213795751059094
251019_114954,4600,0.12940074170430046,6.491387558715312e-79,0.04119851659139904,2.8297621502471877e-08
251019_115159,6200,0.11828963059318938,2.3330533781224506e-65,0.028488429865419003,0.0039348334877825995
251019_115400,4720,0.05045777585065831,3.519977546605996e-11,0.025724266174685675,0.019817423050575836
251019_115559,5400,0.14328963059318933,1.6442686305470866e-97,0.0782355536284361,1.6272999636721746e-25
251019_115756,4600,0.05693601746970464,5.509050546880179e-16,0.05701512096672791,1.1159166954741665e-13
251019_115953,3680,0.07014148244504122,1.9225988356384796e-22,0.03101333140621386,0.00643684673222086
251019_120149,1840,0.1266229639265227,1.4498627055955857e-75,0.04397629436917682,2.898216034084851e-13
251019_120343,2080,0.10069703800059676,4.863901854126602e-47,0.02730638784007501,0.027843366840265994
251019_120539,2080,0.12477111207467084,2.7643557282073816e-74,0.02909923000681833,0.013299657052148146
251019_120738,4200,0.13125259355615235,3.282784906013817e-81,0.031010091543778713,0.001299204271375042
251019_120939,3040,0.08866000096355972,1.0127595724031219e-35,0.03664475059635755,4.92708759077593e-05
251019_121140,3920,0.11921555651911528,1.611168449158103e-66,0.027399105424142742,0.026557022948000792
251019_121350,3360,0.11828963059318937,5.60646319259095e-66,0.013493362585774259,0.5572920663330652
251019_121550,3200,0.14977111207467084,7.790220761329353e-107,0.045841760308073125,1.3175896488915006e-07
251019_121748,5040,0.04675407214695461,4.817127045324021e-09,0.03187376792216096,0.0013970082680155043
251019_121951,3360,0.05433849215675679,1.671466442731824e-12,0.022513359695095048,0.13189066879371442
251019_122150,4880,0.09145463269081712,2.905851126104231e-38,0.037252310875321736,7.824701438691757e-05
251019_122404,1240,0.11921555651911528,2.1905256300192335e-66,0.046754072146954595,4.116868798254865e-08
251019_122640,3560,0.14884518614874492,1.9971796331778396e-105,0.03211626993453458,0.00020891720527444103
251019_122900,4960,0.1275488898524486,1.4899539251245408e-76,0.04139238314327343,8.187892249638877e-07
251019_123134,4680,0.10069703800059676,1.2306798146487975e-48,0.022932874309863446,0.1236497586173465
251019_123415,3280,0.11551185281541157,2.4661479350757197e-62,0.019038543916720503,0.06733579904196663
251019_123643,2360,0.11828963059318937,9.815135102037558e-66,0.03583358772528273,0.00019168855097577837
251019_123857,4640,0.13958592688948568,2.022215207240083e-92,0.04977111207467085,4.3608358085415614e-10
251019_124116,3880,0.0914377787413375,1.0827622723654312e-37,0.02336342198643285,0.0733298239093832
251019_124427,4680,0.13866000096355974,3.681422856221462e-91,0.020158336394520818,0.18839283504372523
251019_124839,2960,0.12754888985244864,7.606738457230824e-77,0.03134531114022006,0.0043246227374039315
251019_125238,4400,0.07477111207467084,4.982969790059802e-27,0.022991883994971977,0.21416485812696476
251019_125638,3640,0.07384518614874491,6.721561822214762e-26,0.029397501841865334,0.001014668042638345
